Symbol,Name,Year,EPS,BPS
A002790,아모레G,2002,13183,68321
A002790,아모레G,2003,18304,84688
A002790,아모레G,2004,14698,96786
A002790,아모레G,2005,15876,130132
A002790,아모레G,2006,16318,152408
A002790,아모레G,2007,6676,156760
A002790,아모레G,2008,8587,164227
A002790,아모레G,2009,9848,172087
A002790,아모레G,2010,2445,189370
A002790,아모레G,2011,18009,223179
A002790,아모레G,2012,18777,237541
A002790,아모레G,2013,19769,254803
A002790,아모레G,2014,26966,276426
A002790,아모레G,2015,3158,30060
A002790,아모레G,2016,4152,33440
A002790,아모레G,2017,,
A034220,LG디스플레이,2001,-2632,10888
A034220,LG디스플레이,2002,1992,12869
A034220,LG디스플레이,2003,7028,19959
A034220,LG디스플레이,2004,5420,17745
A034220,LG디스플레이,2005,1523,21451
A034220,LG디스플레이,2006,-2150,19255
A034220,LG디스플레이,2007,3756,23167
A034220,LG디스플레이,2008,3038,25924
A034220,LG디스플레이,2009,3043,28043
A034220,LG디스플레이,2010,3232,30843
A034220,LG디스플레이,2011,-2155,28271
A034220,LG디스플레이,2012,652,28534
A034220,LG디스플레이,2013,1191,29655
A034220,LG디스플레이,2014,2527,31948
A034220,LG디스플레이,2015,2701,34076
A034220,LG디스플레이,2016,2534,36209
A034220,LG디스플레이,2017,,
A000030,우리은행,2001,1290,5297
A000030,우리은행,2002,1410,7743
A000030,우리은행,2003,2377,9914
A000030,우리은행,2004,3173,11947
A000030,우리은행,2005,2242,15232
A000030,우리은행,2006,2583,17763
A000030,우리은행,2007,2657,19209
A000030,우리은행,2008,366,16887
A000030,우리은행,2009,1270,17793
A000030,우리은행,2010,1645,22905
A000030,우리은행,2011,2701,23654
A000030,우리은행,2012,1953,24267
A000030,우리은행,2013,-842,29911
A000030,우리은행,2014,1720,26647
A000030,우리은행,2015,1566,28436
A000030,우리은행,2016,1866,30208
A000030,우리은행,2017,,
A035720,카카오,2001,-2167,4492
A035720,카카오,2002,199,5749
A035720,카카오,2003,1731,8977
A035720,카카오,2004,-1222,7183
A035720,카카오,2005,-2210,5109
A035720,카카오,2006,1249,6708
A035720,카카오,2007,1227,8870
A035720,카카오,2008,3550,13448
A035720,카카오,2009,2395,16050
A035720,카카오,2010,6856,24276
A035720,카카오,2011,8080,34297
A035720,카카오,2012,5656,38158
A035720,카카오,2013,4532,13072
A035720,카카오,2014,6117,42651
A035720,카카오,2015,1269,42485
A035720,카카오,2016,874,50777
A035720,카카오,2017,,
A010130,고려아연,2001,1907,28593
A010130,고려아연,2002,4178,32922
A010130,고려아연,2003,2248,40313
A010130,고려아연,2004,5740,38564
A010130,고려아연,2005,3761,40893
A010130,고려아연,2006,22499,68469
A010130,고려아연,2007,22348,87361
A010130,고려아연,2008,14982,96914
A010130,고려아연,2009,21923,117245
A010130,고려아연,2010,27360,143451
A010130,고려아연,2011,37342,182490
A010130,고려아연,2012,29685,207361
A010130,고려아연,2013,23745,224494
A010130,고려아연,2014,26565,248406
A010130,고려아연,2015,26994,271901
A010130,고려아연,2016,31395,295176
A010130,고려아연,2017,,
A036570,엔씨소프트,2001,2501,28159
A036570,엔씨소프트,2002,11083,40968
A036570,엔씨소프트,2003,1683,12246
A036570,엔씨소프트,2004,3815,16547
A036570,엔씨소프트,2005,3305,19962
A036570,엔씨소프트,2006,1882,21797
A036570,엔씨소프트,2007,2205,24247
A036570,엔씨소프트,2008,1334,25523
A036570,엔씨소프트,2009,8560,34131
A036570,엔씨소프트,2010,8262,41747
A036570,엔씨소프트,2011,5529,44008
A036570,엔씨소프트,2012,7121,50384
A036570,엔씨소프트,2013,7245,56765
A036570,엔씨소프트,2014,10487,66702
A036570,엔씨소프트,2015,7542,81257
A036570,엔씨소프트,2016,12416,93096
A036570,엔씨소프트,2017,,
A009540,현대중공업,2001,-1028,44169
A009540,현대중공업,2002,-3408,47516
A009540,현대중공업,2003,1498,50367
A009540,현대중공업,2004,483,52268
A009540,현대중공업,2005,2412,54123
A009540,현대중공업,2006,9380,61482
A009540,현대중공업,2007,22843,81424
A009540,현대중공업,2008,29693,93746
A009540,현대중공업,2009,28243,148321
A009540,현대중공업,2010,37308,190434
A009540,현대중공업,2011,33671,233942
A009540,현대중공업,2012,13061,240543
A009540,현대중공업,2013,3667,245395
A009540,현대중공업,2014,-23279,218082
A009540,현대중공업,2015,-17762,193461
A009540,현대중공업,2016,7173,222413
A009540,현대중공업,2017,,
A024110,기업은행,2001,1484,6298
A024110,기업은행,2002,1469,7511
